Geo Point;Geo Shape;ID;adresse;patrimoine
43.6420166584, 1.44112054701;"{""type"": ""LineString"", ""coordinates"": [[1.440056885660897, 43.64079647351848], [1.440020924393426, 43.642757192543854], [1.441860020453437, 43.642876750336846], [1.44226268869641, 43.640695318255425], [1.442179395562327, 43.6403732956504]]}";44;RUE RAPHAEL;184 MICOCOULIER,4 PLATANE
43.636500771, 1.46231332882;"{""type"": ""LineString"", ""coordinates"": [[1.462676462244321, 43.6365317188766], [1.461950195389226, 43.63646982313724]]}";56;PLACE DU BOULO.CROIX DAURADE;7 PLATANE,14 TILLEUL,3 MARRONNIER,1 ERABLE,10 CHENE ROUGE
43.6396940596, 1.46875663061;"{""type"": ""LineString"", ""coordinates"": [[1.468549361871568, 43.63947010045156], [1.46896389933929, 43.63991801877239]]}";61;IMPASSE PETIT JACQUES;23 TILLEUL,1 CYPRES
43.6073710688, 1.4377934135;"{""type"": ""LineString"", ""coordinates"": [[1.437206194779722, 43.608284423515556], [1.437451337717081, 43.60774139730642], [1.43758357508983, 43.607520106413006], [1.438520439403116, 43.60655416989657]]}";68;CREUSES (RUE DES PUITS CREUSES);15 SOPHORA
43.6041605652, 1.43350202259;"{""type"": ""LineString"", ""coordinates"": [[1.432727015377959, 43.60520196381505], [1.432492552541985, 43.60456905990886], [1.434953138237735, 43.60339323204059]]}";72;QUAI ST PIERRE;38 PLATANE
43.6035037323, 1.43569745141;"{""type"": ""MultiLineString"", ""coordinates"": [[[1.434978660635027, 43.603435452117544], [1.43533430544155, 43.60378053732065], [1.43552896462279, 43.6037705813595], [1.435733616912412, 43.60366743906811], [1.435760317307382, 43.60362175418347], [1.435602075034077, 43.6034278721481]], [[1.435729886651999, 43.60337613859128], [1.435890431870642, 43.60356205481073], [1.436219851998605, 43.60338003318903], [1.435898579687019, 43.60302138831598]]]}";73;PLACE ST PIERRE;28 PLATANE
43.602294843, 1.43716334696;"{""type"": ""LineString"", ""coordinates"": [[1.435938245981482, 43.60299490983815], [1.438388447934914, 43.601594776189124]]}";74;QUAI LOMBARD;32 PLATANE
43.6110482923, 1.44134779034;"{""type"": ""LineString"", ""coordinates"": [[1.43936660989465, 43.61147393132025], [1.441844449840253, 43.61096086404923], [1.443317507662057, 43.610573818690206]]}";84;BVD D'ARCOLE;93 PLATANE
43.6082873543, 1.44596818845;"{""type"": ""LineString"", ""coordinates"": [[1.443459947040309, 43.61047934056563], [1.444104688115125, 43.61010636776427], [1.448378910853438, 43.60596627372692]]}";85;BVD DE STRASBOURG;131 PLATANE,2 MICOCOULIER
43.6114670852, 1.44449086604;"{""type"": ""LineString"", ""coordinates"": [[1.443585245795709, 43.61069888750941], [1.445396486286249, 43.61223528287404]]}";89;RUE DE LA CONCORDE;41 ERABLE,10 ROBINIER,15 MICOCOULIER,2 CYPRES
